"Date and Time Run #1","Time (s) Run #1","State Run #1","Time in Gate (s) Run #1","Speed (m/s) Run #1"
09/28/2022 09:50:12 am,519.487,0.00,0.10,0.49
09/28/2022 09:50:15 am,522.980,1.00,,
09/28/2022 09:50:16 am,523.082,0.00,0.10,0.49
09/28/2022 09:50:19 am,526.619,1.00,,
09/28/2022 09:50:19 am,526.714,0.00,0.10,0.52
09/28/2022 09:50:23 am,530.231,1.00,,
09/28/2022 09:50:23 am,530.330,0.00,0.10,0.50
09/28/2022 09:50:26 am,533.862,1.00,,
09/28/2022 09:50:26 am,533.957,0.00,0.10,0.52
09/28/2022 09:50:30 am,537.466,1.00,,
09/28/2022 09:50:30 am,537.567,0.00,0.10,0.50
09/28/2022 09:50:34 am,541.101,1.00,,
09/28/2022 09:50:34 am,541.200,0.00,0.10,0.50
09/28/2022 09:50:37 am,544.699,1.00,,
09/28/2022 09:50:37 am,544.804,0.00,0.11,0.47
09/28/2022 09:50:41 am,548.353,1.00,,
09/28/2022 09:50:41 am,548.459,0.00,0.11,0.47
09/28/2022 09:50:44 am,551.936,1.00,,
09/28/2022 09:50:45 am,552.046,0.00,0.11,0.46
09/28/2022 09:50:48 am,555.615,1.00,,
09/28/2022 09:50:48 am,555.723,0.00,0.11,0.46
09/28/2022 09:50:52 am,559.197,1.00,,
09/28/2022 09:50:52 am,559.307,0.00,0.11,0.45
09/28/2022 09:50:55 am,562.848,1.00,,
09/28/2022 09:50:55 am,562.952,0.00,0.10,0.48
09/28/2022 09:50:59 am,566.452,1.00,,
09/28/2022 09:50:59 am,566.557,0.00,0.10,0.48
09/28/2022 09:51:03 am,570.096,1.00,,
09/28/2022 09:51:03 am,570.195,0.00,0.10,0.50
09/28/2022 09:51:06 am,573.695,1.00,,
09/28/2022 09:51:06 am,573.799,0.00,0.10,0.48
09/28/2022 09:51:10 am,577.328,1.00,,
09/28/2022 09:51:10 am,577.428,0.00,0.10,0.50
09/28/2022 09:51:13 am,580.947,1.00,,
09/28/2022 09:51:14 am,581.053,0.00,0.11,0.47
09/28/2022 09:51:17 am,584.586,1.00,,
09/28/2022 09:51:17 am,584.692,0.00,0.11,0.47
09/28/2022 09:51:21 am,588.178,1.00,,
09/28/2022 09:51:21 am,588.291,0.00,0.11,0.44
09/28/2022 09:51:24 am,591.840,1.00,,
09/28/2022 09:51:24 am,591.954,0.00,0.11,0.44
09/28/2022 09:51:28 am,595.417,1.00,,
09/28/2022 09:51:28 am,595.534,0.00,0.12,0.42
09/28/2022 09:51:32 am,599.081,1.00,,
09/28/2022 09:51:32 am,599.196,0.00,0.12,0.43
09/28/2022 09:51:35 am,602.652,1.00,,
09/28/2022 09:51:35 am,602.768,0.00,0.12,0.43
09/28/2022 09:51:39 am,606.309,1.00,,
09/28/2022 09:51:39 am,606.420,0.00,0.11,0.45
09/28/2022 09:51:42 am,609.914,1.00,,
09/28/2022 09:51:43 am,610.025,0.00,0.11,0.45
09/28/2022 09:51:46 am,613.554,1.00,,
09/28/2022 09:51:46 am,613.662,0.00,0.11,0.46
09/28/2022 09:51:50 am,617.157,1.00,,
09/28/2022 09:51:50 am,617.267,0.00,0.11,0.45
09/28/2022 09:51:53 am,620.792,1.00,,
09/28/2022 09:51:53 am,620.901,0.00,0.11,0.46
09/28/2022 09:51:57 am,624.386,1.00,,
09/28/2022 09:51:57 am,624.497,0.00,0.11,0.45
